Entity,Code,Year,Expectancy,Expenditure,Population,GDP,Physicians,Undernourishment,Obesity
Nepal,NPL,2022,70.0869,323.40787,29715435,4763.3877,1.011,5.7,6.57554
Netherlands,NLD,2022,81.9121,7576.4463,17904421,71324.04,3.876,2.5,16.91088
New Caledonia,NCL,2022,77.6983,,287130,,,5.6,
New Zealand,NZL,2022,81.0061,5214.0234,5131731,49964.176,3.611,2.5,34.24536
Nicaragua,NIC,2022,74.4626,635.6673,6730662,7277.8228,,19.6,32.42438
Niger,NER,2022,60.3981,68.17015,25311978,1717.5189,0.028,13.3,5.32594
Nigeria,NGA,2022,54.079,245.19847,223150906,7752.262,0.386,18,10.83669
North Korea,PRK,2022,73.6411,,26328843,,,45.3,10.86703
North Macedonia,MKD,2022,76.6455,1815.3221,1840236,21715.434,2.944,2.5,30.6488
Norway,NOR,2022,82.6309,9927.321,5456796,91051.086,4.908,2.5,19.76505
Oman,OMN,2022,77.9106,1177.5503,4730229,39780.21,1.992,5.7,30.18688
Pakistan,PAK,2022,67.4167,178.53677,243700667,5526.2793,1.16,20.7,21.84745
Palau,PLW,2022,68.9222,1978.8544,17784,16040.908,2.472,,42.20363
Palestine,PSE,2022,76.6624,625.433,5305274,5753.084,,,32.8151
Panama,PAN,2022,79.3241,3332.2903,4400775,33915.152,1.625,5.6,36.0801
Papua New Guinea,PNG,2022,65.2736,115.37263,10203177,4125.493,0.061,27.7,20.12462
Paraguay,PRY,2022,72.3185,1247.3071,6760460,15259.1455,3.893,4.5,32.08339
Peru,PER,2022,76.834,941.82336,33475436,15559.821,1.649,7,27.18473
Philippines,PHL,2022,69.4723,529.3947,113964343,9457.104,0.792,5.9,8.73605
Poland,POL,2022,77.9229,2975.7773,38385734,43405.023,3.424,2.5,31.41283
Portugal,PRT,2022,81.1936,4682.9253,10417074,41070.86,5.851,2.5,27.06199
Puerto Rico,PRI,2022,79.4269,,3240972,42310.957,,,41.01081
Qatar,QAT,2022,81.8566,2317.8442,2892466,114740.164,3.022,,43.75553
Romania,ROU,2022,75.2614,2471.5647,19166776,37353.047,3.625,2.5,38.23628
Russia,RUS,2022,72.5174,2445.705,145579889,38214.496,5.111,2.5,28.04944
Rwanda,RWA,2022,67.528,222.12422,13651025,2892.4597,0.09,31.4,4.56908
Saint Kitts and Nevis,KNA,2022,70.3131,1945.8788,46732,29749.87,,,46.61522
Saint Lucia,LCA,2022,72.6699,882.55475,178794,22962.281,4.234,,33.93452
Saint Vincent and the Grenadines,VCT,2022,71.1906,820.26215,102063,16835.023,,4.8,33.56653
Samoa,WSM,2022,71.5503,396.3798,215270,6449.365,0.561,5.4,61.23695
San Marino,SMR,2022,85.7082,5879.6196,34113,70887.57,4.663,,
Sao Tome and Principe,STP,2022,69.2368,304.2408,226313,5632.1387,0.464,16.4,15.03851
Saudi Arabia,SAU,2022,77.3098,3102.1821,32175351,67178.59,3.482,3,41.1081
Senegal,SEN,2022,67.7884,167.8477,17651099,4228.734,0.124,4.6,8.68215
Serbia,SRB,2022,75.4778,2373.0935,6791215,23456.297,3.099,2.5,26.05491
Seychelles,SYC,2022,71.2481,1561.03,125533,27978.178,6.598,2.5,30.26695
Sierra Leone,SLE,2022,61.2748,159.55705,8276809,2934.7332,0.134,28.4,6.47527
Singapore,SGP,2022,82.9211,6657.9272,5649888,133571.97,2.834,,13.53592
Slovakia,SVK,2022,77.0356,3168.871,5473195,38664.906,3.697,3.6,30.28089
Slovenia,SVN,2022,80.7933,4901.538,2115231,47050.066,3.367,2.5,22.20498
Solomon Islands,SLB,2022,70.4086,116.46723,781075,2330.103,0.238,19.4,21.62689
Somalia,SOM,2022,53.9315,44.353733,17801895,1387.5475,,51.3,12.69808
South Africa,ZAF,2022,65.4536,1340.7423,62378417,13767.497,0.794,8.1,30.03376
South Korea,KOR,2022,82.727,4859.746,51782515,53228.605,2.61,2.5,6.73334
South Sudan,SSD,2022,57.2026,38.510185,11021175,,0.041,19.6,7.98346
Spain,ESP,2022,82.3661,4775.6626,47828386,46733.48,4.294,2.5,19.16706
Sri Lanka,LKA,2022,77.2996,610.66864,22834965,13249.065,1.136,4.1,10.60543
Sudan,SDN,2022,65.695,122.27267,49383344,3132.0771,,11.4,15.49623
Suriname,SUR,2022,73.2538,1043.1216,623172,18742.588,1.355,10.1,28.98193
Sweden,SWE,2022,83.046,7187.856,10487335,63088.42,4.408,2.5,16.4103
