Entity,Code,Year,Expenditure,Expectancy
South Sudan,SSD,2022,38.510185,57.2026
Spain,ESP,2022,4775.6626,82.3661
Sri Lanka,LKA,2022,610.66864,77.2996
Sudan,SDN,2022,122.27267,65.695
Suriname,SUR,2022,1043.1216,73.2538
Sweden,SWE,2022,7187.856,83.046
Switzerland,CHE,2022,10667.949,83.2003
Syria,SYR,2022,453.58768,72.7898
Taiwan,TWN,2022,,80.1569
Tajikistan,TJK,2022,364.41626,71.5624
Tanzania,TZA,2022,92.64774,66.8786
Thailand,THA,2022,1107.2104,75.2913
Togo,TGO,2022,149.0724,62.2898
Tonga,TON,2022,520.0485,72.6353
Trinidad and Tobago,TTO,2022,1811.0891,73.3308
Tunisia,TUN,2022,885.2604,76.0505
Turkey,TUR,2022,1386.5269,77.5913
Turkmenistan,TKM,2022,873.348,69.9133
Tuvalu,TUV,2022,1126.5308,66.8516
Uganda,UGA,2022,127.35548,67.6747
Ukraine,UKR,2022,1094.8129,72.6582
United Arab Emirates,ARE,2022,3813.762,80.4868
United Kingdom,GBR,2022,6449.4727,81.0744
United States,USA,2022,12434.434,77.9789
Uruguay,URY,2022,2568.0718,76.4682
Uzbekistan,UZB,2022,716.38666,72.1465
Vanuatu,VUT,2022,137.91171,71.3016
Venezuela,VEN,2022,131.27098,72.5656
Vietnam,VNM,2022,610.7222,74.5025
Western Sahara,ESH,2022,,71.1432
Yemen,YEM,2022,109.28855,67.9517
Zambia,ZMB,2022,207.55191,65.2791
Zimbabwe,ZWE,2022,95.99164,62.3601
